crossing_id,river_osm_id,river_name,road_osm_id,road_type,is_pedestrian,elev_m
XNG-00001,756206304,NA,42507045,tertiary,FALSE,1107.5264892578125
XNG-00002,460592787,Oued Froha,73324369,secondary,FALSE,2022.8226318359375
XNG-00003,400119430,Oued et Tat,79670099,tertiary,FALSE,1859
XNG-00004,400125200,NA,79670099,tertiary,FALSE,1836.214599609375
XNG-00005,400125201,NA,79670099,tertiary,FALSE,1833.37158203125
XNG-00006,400125202,NA,79670099,tertiary,FALSE,1830.385498046875
XNG-00007,467543100,NA,90038610,secondary,FALSE,1993.1956787109375
XNG-00008,467543100,NA,90039244,secondary,FALSE,1992.24169921875
XNG-00009,467543100,NA,90041201,secondary,FALSE,1988.1669921875
XNG-00010,459344490,Oued Mina,92367313,primary,FALSE,2229.998291015625
XNG-00011,1221776076,NA,190996106,tertiary,FALSE,1093.64501953125
XNG-00012,1221776064,NA,191125746,tertiary,FALSE,1091.4964599609375
XNG-00013,467543100,NA,200000483,primary,FALSE,1945.709228515625
XNG-00014,244518796,NA,202799796,primary,FALSE,1050.119140625
XNG-00015,79657769,Oued Tifrit,207062969,secondary,FALSE,1610.22021484375
XNG-00016,244523459,NA,244157805,primary,FALSE,1054.0692138671875
XNG-00017,244523459,NA,244157819,primary,FALSE,1047.913818359375
XNG-00018,244523459,NA,244523623,primary,FALSE,1054.9921875
XNG-00019,459350872,NA,262787572,tertiary,FALSE,2140.4375
XNG-00020,274091059,Wassel,274091058,primary,FALSE,1346.4180908203125
XNG-00021,274091055,NA,274091062,primary,FALSE,1348.8995361328125
XNG-00022,328182910,Oued Maoussa,280963945,secondary,FALSE,2235.417236328125
XNG-00023,328182910,Oued Maoussa,280963947,unclassified,FALSE,2246.395751953125
XNG-00024,333704164,Oued Haddad,293120344,secondary,FALSE,NA
XNG-00025,1289685265,NA,293941256,unclassified,FALSE,1072.880859375
XNG-00026,1289685266,NA,293941256,unclassified,FALSE,1059.4873046875
XNG-00027,328182910,Oued Maoussa,304016059,secondary,FALSE,2203.927001953125
XNG-00028,244518796,NA,309991971,secondary,FALSE,1049
XNG-00029,467543100,NA,332557497,tertiary,FALSE,1988.1705322265625
XNG-00030,333704164,Oued Haddad,333377807,secondary,FALSE,2316.153564453125
XNG-00031,328182912,Oued Maoussa,333516228,unclassified,FALSE,2286.916748046875
XNG-00032,333704164,Oued Haddad,333522725,tertiary,FALSE,2312.39794921875
XNG-00033,333704164,Oued Haddad,333522732,tertiary,FALSE,NA
XNG-00034,459344490,Oued Mina,333527565,tertiary,FALSE,2220.457275390625
XNG-00035,459344490,Oued Mina,333600431,unclassified,FALSE,2100.42333984375
XNG-00036,337887959,NA,337887958,secondary,FALSE,1596.930419921875
XNG-00037,328182910,Oued Maoussa,338791989,track,TRUE,2193.46044921875
XNG-00038,1085645730,NA,356871809,secondary,FALSE,1664.9884033203125
XNG-00039,318380924,NA,356873987,primary,FALSE,1928.0477294921875
XNG-00040,459344490,Oued Mina,359246153,secondary,FALSE,2090.963134765625
XNG-00041,359373187,NA,359246177,secondary,FALSE,2092
XNG-00042,374802618,NA,374414410,unclassified,FALSE,2427
XNG-00043,1221776062,NA,389684830,primary,FALSE,1090.1070556640625
XNG-00044,1221776060,NA,389684848,secondary,FALSE,1088.1182861328125
XNG-00045,1221776060,NA,389684849,secondary,FALSE,1088.681640625
XNG-00046,391432791,NA,391432787,primary,FALSE,1077.5419921875
XNG-00047,400119435,NA,400115507,unclassified,FALSE,1848.3953857421875
XNG-00048,400119437,NA,400115507,unclassified,FALSE,1865.2103271484375
XNG-00049,400125200,NA,400119452,track,TRUE,1806.1422119140625
XNG-00050,400119430,Oued et Tat,400120625,unclassified,FALSE,1867.649658203125
XNG-00051,400125200,NA,400125205,track,TRUE,1807.9295654296875
XNG-00052,400125202,NA,400125210,track,TRUE,1830.396484375
XNG-00053,405103828,NA,405103825,unclassified,FALSE,1923.9024658203125
XNG-00054,405103828,NA,405103826,primary,FALSE,2027.8690185546875
XNG-00055,459344490,Oued Mina,431522473,secondary,FALSE,2368.632080078125
XNG-00056,459344490,Oued Mina,431524358,secondary,FALSE,2054.308837890625
XNG-00057,438420777,NA,438420769,secondary,FALSE,1779.7230224609375
XNG-00058,438420778,NA,438420770,secondary,FALSE,1841.3785400390625
XNG-00059,438420779,NA,438420771,primary,FALSE,1797.2501220703125
XNG-00060,438420779,NA,438420772,primary,FALSE,1797.2501220703125
XNG-00061,548633447,NA,457032756,unclassified,FALSE,1272.4278564453125
XNG-00062,333522595,Oued El Abd,459349998,secondary,FALSE,2219.76025390625
XNG-00063,1221776064,NA,537812037,tertiary,FALSE,1090.9453125
XNG-00064,401114574,NA,537812045,primary,FALSE,1073.800048828125
XNG-00065,1221776062,NA,537812053,primary,FALSE,1090.1070556640625
XNG-00066,537827936,NA,537827938,footway,TRUE,1106.209228515625
XNG-00067,537827936,NA,537827942,primary,FALSE,1107
XNG-00068,548633447,NA,548633463,unclassified,FALSE,1291.044921875
XNG-00069,713735561,NA,549593310,unclassified,FALSE,885.96099853515625
XNG-00070,328182910,Oued Maoussa,567095279,unclassified,FALSE,2171.912109375
XNG-00071,537827936,NA,573314933,tertiary,FALSE,1104
XNG-00072,628038037,Oued El Melh,628038039,tertiary,FALSE,1100.3856201171875
XNG-00073,274091060,NA,640478418,unclassified,FALSE,1531.18115234375
XNG-00074,274091060,NA,640478429,unclassified,FALSE,1561.2899169921875
XNG-00075,328182910,Oued Maoussa,685267085,track,TRUE,2223.9990234375
XNG-00076,713760740,Oued Nahr-Ouassel,713805110,secondary,FALSE,NA
XNG-00077,328182910,Oued Maoussa,806232895,footway,TRUE,2222.73193359375
XNG-00078,860401708,NA,860396907,track,TRUE,2032
XNG-00079,860396912,NA,860396913,track,TRUE,2050.002197265625
XNG-00080,860396916,NA,860396918,secondary,FALSE,2110.634521484375
XNG-00081,860396915,NA,860401710,track,TRUE,2091.319091796875
XNG-00082,860401711,NA,860401710,track,TRUE,2064.514892578125
XNG-00083,860401712,NA,860401714,secondary,FALSE,2180.5830078125
XNG-00084,860404991,NA,860404992,track,TRUE,2172.849853515625
XNG-00085,978765700,NA,867305425,footway,TRUE,1817.8023681640625
XNG-00086,978765703,NA,867305429,footway,TRUE,1823.939453125
XNG-00087,871865455,NA,871865453,secondary,FALSE,1652.0311279296875
XNG-00088,747805362,NA,871866047,secondary,FALSE,1683.486572265625
XNG-00089,747805362,NA,884697670,unclassified,FALSE,1710.935791015625
XNG-00090,747805362,NA,884697672,unclassified,FALSE,1693.1488037109375
XNG-00091,438420779,NA,978765696,footway,TRUE,1797.2501220703125
XNG-00092,438420778,NA,978765697,footway,TRUE,1841.3785400390625
XNG-00093,438420779,NA,978765698,footway,TRUE,1794.4984130859375
XNG-00094,1289679315,NA,1010118738,unclassified,FALSE,1044.0013427734375
XNG-00095,1289679319,NA,1010118738,unclassified,FALSE,1044.02880859375
XNG-00096,328540997,NA,1010513078,unclassified,FALSE,2322.7021484375
XNG-00097,460592787,Oued Froha,1016450374,secondary,FALSE,1961.18896484375
XNG-00098,1026373773,NA,1026373772,unclassified,FALSE,1432.428955078125
XNG-00099,1026373773,NA,1026419665,track,TRUE,1350.88427734375
XNG-00100,1046215907,NA,1046215905,secondary,FALSE,1338.4495849609375
XNG-00101,1046217923,NA,1046215906,secondary,FALSE,1355.4041748046875
XNG-00102,1046217924,NA,1046215906,secondary,FALSE,1383.489013671875
XNG-00103,1026373773,NA,1046217925,secondary,FALSE,1302.5777587890625
XNG-00104,713735561,NA,1083270567,secondary,FALSE,1237.98828125
XNG-00105,374802616,NA,1085382786,tertiary,FALSE,2464.23681640625
XNG-00106,337887956,NA,1085645719,primary,FALSE,1596.3902587890625
XNG-00107,628038037,Oued El Melh,1087463662,tertiary,FALSE,1080.091796875
XNG-00108,467543100,NA,1103134695,unclassified,FALSE,1682.2847900390625
XNG-00109,1221776059,NA,1162864291,track,TRUE,1079.554443359375
XNG-00110,400120623,Chabet el Barda,1177227643,unclassified,FALSE,1817.2969970703125
XNG-00111,440826721,NA,1177851851,unclassified,FALSE,1898.9879150390625
XNG-00112,1221776066,NA,1218995544,tertiary,FALSE,1092.0263671875
XNG-00113,1221776068,NA,1219359892,unclassified,FALSE,1092.4271240234375
XNG-00114,1221776056,NA,1221776058,tertiary,FALSE,1094.593994140625
XNG-00115,400119430,Oued et Tat,1225545292,primary,FALSE,1833.163330078125
XNG-00116,309968799,NA,1289687112,unclassified,FALSE,1054.074951171875
XNG-00117,309968802,NA,1289687112,unclassified,FALSE,1067.3372802734375
XNG-00118,1289687111,NA,1289687112,unclassified,FALSE,1051.6890869140625
XNG-00119,1290988868,NA,1289687112,unclassified,FALSE,1042
XNG-00120,1290988873,NA,1289687112,unclassified,FALSE,1059.0875244140625
XNG-00121,1291369953,NA,1291369952,unclassified,FALSE,1054.01513671875
XNG-00122,1416508945,NA,1416417552,secondary,FALSE,2038.6219482421875
XNG-00123,337887956,NA,1416420059,primary,FALSE,1596.8955078125
XNG-00124,1416508949,NA,1416508942,primary,FALSE,2021.61474609375
